JOB_TITLE,WAGE_RATE_OF_PAY_FROM,WORKSITE_ADDRESS1,WORKSITE_CITY,WORKSITE_STATE,BEGIN_DATE,CASE_STATUS,SOC_TITLE,VISA_CLASS
"AI DEVELOPER",130000,"575 WASHINGTON BOULEVARD","JERSEY CITY","NJ","6/21/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Analyst",121000,"1230 Avenue of the Americas","New York","NY","7/2/23","Certified - Withdrawn","Management Analysts","H-1B"
"Analyst",85000,"560 Mission St.","San Francisco","CA","10/1/21","Certified - Withdrawn","Financial Analysts","H-1B"
"Analyst",90000,"383 Madison Ave.","New York","NY","10/1/21","Certified - Withdrawn","Financial Analysts","H-1B"
"Analyst, Retained Lending Financial Control",68500,"4041 Ogletown Rd.","Newark","DE","8/16/21","Certified - Withdrawn","Accountants","H-1B"
"APPLIED AI ML ASSOCIATE SENIOR",150000,"383 MADISON AVENUE","NEW YORK","NY","2/25/21","Certified - Withdrawn","Computer and Information Research Scientists","H-1B"
"Associate",175000,"560 Mission Street","San Francisco","CA","12/11/23","Certified","Financial and Investment Analysts","H-1B"
"Associate",175000,"383 Madison Ave","New York","NY","12/18/23","Certified","Financial and Investment Analysts","H-1B1 Singapore"
"Associate",130000,"545 Washington Blvd.","Jersey City","NJ","5/24/21","Certified - Withdrawn","Financial Quantitative Analysts","H-1B"
"ASSOCIATE",80000,"4 CHASE METROTECH CENTER","BROOKLYN","NY","6/1/21","Certified - Withdrawn","Accountants","H-1B"
"ASSOCIATE",105000,"4 METROTECH CENTER","BROOKLYN","NY","1/4/21","Certified - Withdrawn","Statisticians","H-1B"
"Associate",117300,"8181 Communications Pkwy","Plano","TX","5/7/21","Certified - Withdrawn","Database Administrators","H-1B"
"ASSOCIATE",71300,"500 STANTON CHRISTIANA ROAD","NEWARK","DE","7/31/21","Certified - Withdrawn","Business Intelligence Analysts","H-1B"
"ASSOCIATE",127500,"201 N WALNUT STREET","WILMINGTON","DE","8/28/21","Certified - Withdrawn","Statisticians","H-1B"
"ASSOCIATE INSTITUTIONAL STRATEGY",135000,"277 PARK AVENUE","NEW YORK","NY","10/12/21","Certified - Withdrawn","Statisticians","H-1B"
"ASSOCIATE SENIOR AUDITOR",110000,"480 WASHINGTON BOULEVARD","JERSEY CITY","NJ","9/27/21","Certified - Withdrawn","Accountants and Auditors","H-1B"
"ASSOCIATE SOFTWARE ENGINEER",140000,"450 W 33RD STREET","NEW YORK","NY","1/24/22","Certified - Withdrawn","Software Developers, Applications","H-1B"
"ASSOCIATE SOFTWARE ENGINEER",133000,"8181 COMMUNICATIONS PARKWAY","PLANO","TX","11/29/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"ASSOCIATE SOFTWARE ENGINEER",125000,"880 POWDER MILL ROAD","WILMINGTON","DE","10/25/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"ASSOCIATE SOFTWARE ENGINEER",120000,"8181 COMMUNICATIONS PARKWAY","PLANO","TX","10/18/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"ASSOCIATE SR USER EXPERIENCE DESIGNER",125000,"575 WASHINGTON BOULEVARD","JERSEY CITY","NJ","2/13/21","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Associate, Analytics Solutions & Delivery",99500,"545 Washington Blvd","Jersey City","NJ","4/7/24","Certified","Financial Quantitative Analysts","H-1B"
"Associate, Applications Support",109500,"10410 Highland Manor Drive","Tampa","FL","5/30/24","Certified","Network and Computer Systems Administrators","H-1B"
"Associate, Applications Support",89419,"1111 Polaris Pkwy","Columbus","OH","5/21/24","Certified","Computer Systems Engineers/Architects","E-3 Australian"
"Associate, Applications Support",128000,"575 Washington Blvd","Jersey City","NJ","4/7/24","Certified","Computer Systems Engineers/Architects","H-1B"
"Associate, Applications Support",106600,"1111 Polaris Pkwy","Columbus","OH","5/22/24","Certified","Software Developers","H-1B"
"Associate, Applications Support",120000,"880 Powder Mill Rd","Wilmington","DE","11/1/23","Certified","Computer Systems Engineers/Architects","H-1B"
"Associate, Applications Support",110000,"8181 Communications Parkway","Plano","TX","12/19/22","Certified - Withdrawn","Computer Systems Engineers/Architects","H-1B"
"ASSOCIATE, APPLICATIONS SUPPORT",120000,"10410 HIGHLAND MANOR DRIVE ","TAMPA","FL","4/4/22","Certified - Withdrawn","Software Developers, Applications","H-1B"
"Associate, Applied AI & Machine Learning",145000,"2800 E Cottonwood Pkwy","Salt Lake City","UT","1/22/24","Certified","Computer and Information Research Scientists","H-1B"
"Associate, Applied AI and ML",160000,"8181 Communications Pkwy","Plano","TX","10/12/23","Certified","Software Developers","H-1B"
"Associate, Applied AI ML Associate Sr",166920,"383 Madison Avenue","New York","NY","4/12/24","Certified","Data Scientists","H-1B"
"Associate, Automated Trading Strategist",200000,"383 Madison Ave","New York","NY","10/16/23","Certified","Financial Quantitative Analysts","E-3 Australian"
"Associate, Business Analysis & Reporting",85494,"545 Washington Boulevard","Jersey City","NJ","3/8/24","Certified","Financial and Investment Analysts","H-1B"
"Associate, CIB Assoc 2021 S and T",200000,"383 Madison Avenue","New York","NY","5/3/24","Certified","Financial Quantitative Analysts","H-1B"
"Associate, CIB Assoc 2021 S&T",200000,"383 Madison Avenue","New York","NY","5/23/24","Certified","Operations Research Analysts","H-1B"
"Associate, CIB Risk Associate",150000,"545 Washington Blvd","Jersey City","NJ","2/7/24","Certified","Database Architects","H-1B"
"ASSOCIATE, CREDIT RISK",120000,"8181 COMMUNICATIONS PARKWAY","PLANO ","TX","9/9/22","Certified - Withdrawn","Financial Quantitative Analysts","H-1B"
"Associate, Cybersecurity Operations",155000,"575 Washington Boulevard","Jersey City","NJ","11/14/23","Certified","Information Security Analysts","H-1B1 Singapore"
"Associate, Data Engineering",133100,"8181 Communications Pkwy","Plano","TX","4/8/24","Certified","Software Developers","H-1B"
"Associate, Data Owner",135000,"8181 Communications Pkwy","Plano","TX","1/8/24","Certified","Business Intelligence Analysts","H-1B"
"Associate, Data Owner Associate Sr",145000,"8181 Communications Pkwy","Plano","TX","12/22/23","Certified","Data Scientists","H-1B"
"Associate, Data Scientist",125000,"1111 Polaris Parkway","Columbus","OH","12/11/23","Certified","Data Scientists","H-1B"
"Associate, Data Scientist",161600,"575 Washington Blvd","Jersey City","NJ","4/13/24","Certified","Data Scientists","H-1B"
"Associate, Data Scientist",125000,"383 Madison Avenue","New York","NY","3/20/23","Certified - Withdrawn","Data Scientists","H-1B"
"ASSOCIATE, DATA SCIENTIST",120000,"201 N WALNUT ST","WILMINGTON","DE","10/30/20","Certified - Withdrawn","Operations Research Analysts","H-1B"
"Associate, Data Scientist ",125000,"277 Park Avenue","New York","NY","1/29/21","Certified - Withdrawn","Financial Quantitative Analysts","H-1B"
"Associate, Data Scientist Associate Sr",137500,"480 Washington Blvd","Jersey City","NJ","5/8/24","Certified","Statisticians","H-1B"
"Associate, Data Scientist Associate Sr",125000,"8181 Communications Parkway","Plano","TX","5/29/24","Certified","Data Scientists","H-1B"
"Associate, Data Scientist Associate Sr.",110000,"10 S. Dearborn St.","Chicago","IL","5/9/24","Certified","Operations Research Analysts","H-1B"
